symbol,date,price
6000,8,0.0464095257
6000,9,0.1263348858
6000,10,0.1172123145
6000,11,0.1291035293
6000,12,0.1076866504
6000,13,0.209851753
6000,14,0.331080068
6000,15,0.2136203971
6000,16,0.2393419909
6000,17,0.1928989464
6000,18,0.2754519233
6000,19,0.3495396216
6000,20,0.258588479
6000,21,0.2535075027
6000,22,0.2756308282
6001,7,0.0200672188
6001,8,0.1328157807
6001,9,0.1058807981
6001,10,0.1934011749
6001,11,0.2176347203
6001,12,0.1848067966
6001,13,0.1102610449
6001,14,0.0941890688
6001,15,0.1770073208
6001,16,0.2061552946
6001,17,0.1424952472
6001,18,0.2015335576
6001,19,0.1963433218
6001,20,0.169947928
6001,21,0.1208554129
6001,22,0.0788334228
6001,23,0.2398545939
6002,7,0.2236126051
6002,8,0.330710316
6002,9,0.4237971921
6002,11,0
6002,12,0.1806160593
6002,13,0.3762231941
6002,14,0.259847836
6002,15,0.3598621326
6002,16,0.0102539444
6002,18,0.6140629444
6002,19,0.0982440563
6002,20,0.1218615085
6002,21,0.0500404529
6002,22,0.0678047397
6002,23,0.053471695
6003,7,0.0075348022
6003,8,0.0604076012
6003,9,0.0597201837
6003,10,0.1094495626
6003,11,0.0707290066
6003,12,0.0695667083
6003,13,0.0637953549
6003,14,0.0807655117
6003,15,0.0801041918
6003,16,0.05663395
6003,17,0.0696486496
6003,18,0.0643218821
6003,19,0.0534070684
6003,20,0.0516249886
6003,21,0.032163596
6003,22,0.0174109901
6003,23,0.0102382326
6006,9,0.0341790152
6006,10,0.5436245832
6006,11,0.0928053064
6006,12,0.1138919716
6006,13,0.0713760792
6006,14,0.1962117403
6006,15,0.1463809321
6006,16,0.0996947887
6006,18,0.0971515173
6006,20,0.1862564126
6006,21,0.1441836186
6006,22,0.1421607994
6007,0,0.4631167791
6007,8,0.1453142497
6007,9,0.1055088359
6007,10,0.2975053117
6007,11,0.2241759371
6007,12,0.2795291648
6007,13,0.3119092307
6007,14,0.3166755924
6007,15,0.1845656386
6007,16,0.1545520938
6007,17,0.2104533682
6007,18,0.1889810743
6007,19,0.1358285879
6007,20,0.2020134417
6007,21,0.1827462648
6007,22,0.2450529528
6007,23,0.3595924382
6008,7,0.2267348592
6008,8,0.15410601
6008,9,0.0907946397
6008,10,0.090017656
6008,11,0.1686488295
6008,12,0.1188598593
6008,13,0.1429548879
6008,14,0.3973281506
6008,15,0.1528259271
6008,16,0.1633501236
6008,17,0.1535180746
6008,18,0.2289593233
6008,19,0.1992972228
6008,20,0.1633857274
6008,21,0.1180933932
6010,5,0.0581281828
6010,6,0.0687789748
6010,7,0.051680641
6010,8,0.0420047532
6010,9,0.0395789779
6010,10,0.0921369239
6010,11,0.0772940579
6010,12,0.0908055137
6010,13,0.0860223487
6010,14,0.05459555
6010,15,0.0904918336
6010,16,0.0682470469
6010,17,0.0614660722
6010,18,0.0527594221
6010,19,0.0489242227
6010,20,0.0501958038
6010,21,0.0364384099
6011,7,0.096969463
6011,8,0.4243421777
6011,9,0.2383802804
6011,10,0.2039087517
6011,11,0.2714939845
6011,12,0.3594089529
6011,13,0.2891941727
6011,14,0.1442855063
6011,15,0.1923889049
6011,16,0.1736043136
6011,17,0.2603405276
6011,18,0.0994626719
6011,19,0.2526739871
6011,20,0.2259979061
6011,21,0.2072688065
6011,22,0.1378408078
6012,7,0.0487124891
6012,8,0.0069701845
6012,9,0.1014792471
6012,10,0.0976699052
6012,11,0.2895689288
6012,12,0.2700339971
6012,13,0.4438682791
6012,14,0.2471723022
6012,15,0.2735171835
6012,16,0.3261021172
6012,17,0.3370557423
6012,18,0.1758156401
6012,19,0.2371572766
6012,20,0.3215540927
6012,21,0.2390129866
6012,22,0.117859654
6013,9,0.1298212174
6013,10,0.1722606322
6013,11,0.0457645868
6013,12,0.0650368918
6013,13,0.0954001328
6013,14,0.1504712115
6013,15,0.2907953307
6013,16,0.2395386971
6013,17,0.2175114516
6013,18,0.1573705669
6013,19,0.1245579441
6013,20,0.2089677172
6013,21,0.3180594045
6013,22,0.5407536955
6014,7,0.1836911895
6014,8,0.0672204232
6014,9,0.0777256377
6014,10,0.034116261
6014,11,0.1520861297
6014,12,0.1036904843
6014,13,0.1656546851
6014,14,0.1718837165
6014,15,0.1774667348
6014,16,0.0919941931
6014,17,0.1258498787
6014,18,0.2040787487
6014,19,0.0762173624
6014,20,0.0873624638
6015,7,0.1715051868
6015,8,0.112870617
6015,9,0.1150627049
6015,10,0.1126879282
6015,11,0.088688221
6015,12,0.0586274223
6015,13,0.1744134593
6015,14,0.2096838263
6015,15,0.2490610853
6015,16,0.1316017983
6015,17,0.1133443223
6015,18,0.1963874761
6015,19,0.1875027627
6015,20,0.1025213003
6015,21,0.0748530295
6016,8,0.1882013627
6016,9,0.1344952775
6016,10,0.1488735355
6016,11,0.1088698986
6016,12,0.1382965455
6016,13,0.1057678772
6016,14,0.1357092177
6016,15,0.0888907429
6016,16,0.1274302847
6016,17,0.1904919713
6016,18,0.2527298226
6016,19,0.2418447461
6016,20,0.2859223148
6016,21,0.2072413088
6019,6,0.2888426019
6019,7,0.1276767779
6019,8,0.1190469194
6019,9,0.1051949105
6019,10,0.1148829402
6019,11,0.1188271853
6019,12,0.0811680021
6019,13,0.0940192601
6019,14,0.1113626486
6019,15,0.0927719718
6019,16,0.0709610279
6019,17,0.1368629565
6019,18,0.0901230983
6019,19,0.0786237612
6019,20,0.0786776954
6019,21,0.1889138706
6019,22,0.2212374972
6020,7,0.0190145379
6020,8,0.0187421123
6020,9,0.0676802145
6020,10,0.1254383519
6020,11,0.3956572286
6020,12,0.1221048712
6020,13,0.0981767947
6020,14,0.1021314403
6020,15,0.2335190694
6020,16,0.1948737184
6020,17,0.2757053828
6020,18,0.240182884
6020,19,0.2376275953
6020,20,0.1185689192
6020,21,0.078269618
6020,22,0.0204093581
6021,5,0.2171716242
6021,6,0.1461013448
6021,7,0.1314072303
6021,8,0.1495126057
6021,9,0.089827593
6021,10,0.1117800753
6021,11,0.1026279451
6021,12,0.1594473763
6021,13,0.225235876
6021,14,0.1429550287
6021,15,0.2034276556
6021,16,0.2386521954
6021,17,0.1107476549
6021,18,0.0809078563
6021,19,0.0489535486
6021,20,0.2020395035
6027,7,0.1280102327
6027,8,0.122243297
6027,9,0.1636662272
6027,10,0.250785973
6027,11,0.2111978688
6027,12,0.2392848465
6027,13,0.1901355005
6027,14,0.1860824075
6027,15,0.0776105886
6027,16,0.0748828373
6027,17,0.0711770458
6027,18,0.0854900801
6027,19,0.1408495041
6027,20,0.106993522
6027,21,0.1171575571
6030,7,0.0663945
6030,8,0.0729396277
6030,9,0.0831013056
6030,10,0.1778877593
6030,11,0.2532170238
6030,12,0.2028674628
6030,13,0.1675032269
6030,14,0.2522324901
6030,15,0.24463315
6030,16,0.075232762
6030,17,0.098906547
6030,18,0.1065413517
6030,19,0.1279353198
6030,20,0.3230492883
6030,21,0.704190023
6032,0,0.7303925557
6032,1,0.5782529111
6032,2,0.1890456423
6032,3,0.0171790978
6032,4,0.0040354223
6032,5,0.0072908631
6032,6,0.0391858406
6032,7,0.0331123147
6032,8,0.1534841596
6032,9,0.0868857617
6032,10,0.072296953
6032,11,0.2056948149
6032,12,0.2825800585
6032,13,0.7064010792
6032,14,0.4995729757
6032,15,0.1021493559
6032,16,0.2374289624
6032,17,0.1358866953
6032,18,0.2992687579
6032,19,0.2490206237
6032,20,0.10602867
6032,21,0.1036987839
6032,22,0.3344833501
6032,23,0.5814872412
